srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
2839241,AF,17,800001,233,233,131,C,ADLD,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,16.999373688229493
2868409,AN,22,400104,233,233,131,A,ADLD,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,12.013373376829824
2907041,D,1,400059,233,233,131,A,ADLD,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,13.919323873455841
2844455,AN,7,500004,233,233,131,B,ADLD,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,13.773411511993345
2867312,C,1,400059,233,233,131,A,ADLD,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,13.273527101880953
2972765,AN,22,400104,0,233,131,D,ADLD,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,14.696873932018306
2983511,C,2,110018,233,233,131,A,ADLD,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,12.04553558288902
2857281,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,9.992847989846496
3051964,AJ,23,400001,233,233,131,A,ADLD,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,10.095496341420086
2981162,AN,21,110015,233,233,131,A,ADLD,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,10.411901039624823
3014945,AN,26,560066,201,233,131,D,ADLD,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,13.659821387503673
2999197,AJ,27,110034,233,233,131,A,ADLD,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,12.119739716724816
2829017,AJ,7,500004,233,233,131,A,ADLD,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,9.923474144815152
2848996,AI,3,560011,233,233,131,A,ADLD,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,11.081112649329604
2870108,AN,22,400104,233,233,131,B,ADLD,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,14.041408567251423
2859591,AJ,2,110018,233,233,131,A,ADLD,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,12.039288283464126
2861847,AJ,3,560011,233,233,228,A,ADLD,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,9.269845578166043
2880678,AJ,2,110018,233,233,228,A,ADLD,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,11.97138762811592
2872297,AN,22,400104,233,233,131,C,ADLD,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,14.50944110013895
2930663,AN,21,110015,233,233,131,C,ADLD,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,13.326608627041429
2936017,AJ,23,400001,233,233,131,A,ADLD,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,12.711924766201172
2940545,S,3,560011,233,233,228,A,ADLD,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,12.471580116662684
2887249,AE,9,411016,233,233,228,B,ADLD,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,17.066049000005993
2978501,AM,2,110018,308,233,228,A,ADLD,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,14.286026601694248
3013507,Y,5,380009,201,233,131,D,ADLD,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,19.480884391302432
3035976,AJ,6,160059,233,233,228,B,ADLD,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,10.770646778024055
3057218,AN,26,560066,233,233,131,B,ADLD,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,12.027858124729775
3086262,AJ,23,400001,233,233,228,A,ADLD,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,8.513217842635168
3078906,AN,22,400104,233,233,131,A,ADLD,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,8.122842151431996
2822707,AN,21,110015,233,245,131,A,ADLD,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,10.48049988325861
2874119,AJ,3,560011,233,245,228,B,ADLD,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,11.619416610328269
2879096,AN,11,641012,201,201,131,D,ADLD,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,13.95175920319485
3041893,AE,2,110018,233,233,228,C,ADLD,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,17.81252928917024
3085048,AN,26,560066,233,233,228,A,ADLD,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,8.260271626330823
2833586,AN,21,110015,201,233,131,0,ADLD,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,17.545568246661965
3029632,AJ,27,110034,233,233,131,B,ADLD,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,13.029976997185232
2953931,AN,8,700064,233,233,131,A,ADLD,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,11.417839476607773
2946014,AN,4,600024,233,233,131,A,ADLD,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,10.392866577586856
3011371,AJ,23,400001,308,233,131,A,ADLD,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,10.633165113904436
3084072,AN,21,110015,233,233,131,A,ADLD,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,7.445331312090566
2896365,AN,8,700064,233,233,228,A,ADLD,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,10.92835191534455
3021704,C,12,302006,233,233,131,B,ADLD,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,14.50538919224166
2904158,AN,7,500004,233,233,131,A,ADLD,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,9.977584177585538
3035437,C,2,110018,233,233,228,B,EW,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,25.190591257031873
2870227,AN,2,110018,233,233,131,A,ADLD,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,11.46479560302218
3013338,AJ,27,110034,308,233,228,A,ADLD,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,12.977785428530321
2848947,AN,21,110015,233,233,131,B,ADLD,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,12.268377634406301
2846763,AJ,2,110018,233,233,228,A,ADLD,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,11.750632731278943
2883269,AN,2,110018,233,233,228,A,ADLD,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,11.219594865217855
2843740,C,12,302006,233,233,228,B,ADLD,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,16.058280612127465
2904312,AA,12,302006,233,233,228,A,ADLD,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,15.325029964694687
2924654,Y,4,600024,233,233,131,A,ADLD,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,12.731617879010154
2938914,AJ,2,110018,233,233,228,A,ADLD,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,12.431133380031781
2822482,AF,1,400059,233,233,131,A,ADLD,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,13.659340697688465
2943376,AN,22,400104,233,233,131,A,ADLD,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,13.972784349012842
2979916,AN,21,110015,233,233,131,C,ADLD,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,12.266173126037323
3041172,AN,21,110015,308,233,131,A,ADLD,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,8.076219186463911
3049892,AJ,27,110034,233,233,131,A,ADLD,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,10.49306870213382
3034718,AJ,25,560037,233,233,131,A,ADLD,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,10.018744405658145
3054515,AJ,25,560037,233,233,131,A,ADLD,600092,2017-05-04,2017-05-02,2018-04-04,4460,2018-04-09,9.838977046069315
3011372,C,9,411016,233,233,228,A,ADLD,411028,2017-06-11,2015-08-14,2018-03-23,4548,2018-03-31,11.264402254705184
2931879,Y,5,380009,233,245,131,B,ADLD,360001,2017-12-08,2017-04-08,2018-03-03,4039,2018-03-24,17.83917517401543
3061051,AJ,25,560037,308,245,131,A,ADLD,560048,2017-04-21,2017-04-21,2018-04-06,4460,2018-04-11,9.21462779953498
2838851,AN,21,110015,233,233,131,A,ADLD,110063,2017-08-14,2017-08-09,2018-02-04,4580,2018-02-06,10.28910739215759
2883744,AN,21,110015,233,233,131,C,ADLD,143505,2018-01-10,2017-05-03,2018-02-18,4580,2018-02-21,12.546223492880532
3003851,AN,2,110018,308,245,228,A,ADLD,110017,2018-02-28,2017-09-07,2018-03-21,4580,2018-03-23,9.806322630355178
2865482,AJ,8,700064,233,233,131,A,ADLD,700156,2018-02-09,2018-02-07,2018-02-13,4499,2018-02-16,12.051406885397009
2949800,AN,7,500004,233,233,131,A,ADLD,500079,2017-05-19,2017-05-17,2018-03-07,4403,2018-03-17,9.854605147661879
2909787,AM,2,110018,233,233,228,A,ADLD,110043,2017-08-09,2017-02-22,2018-02-26,4092,2018-02-27,13.621866518742834
2854751,AN,21,110015,233,233,131,A,ADLD,110049,2017-07-06,2017-07-05,2018-02-09,4580,2018-02-12,10.389060812578869
2849456,AI,3,560011,233,233,131,A,ADLD,560050,2018-01-05,2018-01-05,2018-02-07,4460,2018-02-16,11.011386464026113
2932154,AI,23,400001,233,233,131,A,ADLD,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,13.611480769664247
2932154,AI,23,400001,233,0,131,A,ADLD,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,13.697031542903702
2985584,AI,23,400001,201,233,131,0,ADLD,453111,2018-02-26,2018-02-26,2018-03-15,4398,2018-03-24,17.178828720195554
2854160,AN,21,110015,233,233,131,A,ADLD,110084,2017-12-02,2017-11-28,2018-02-09,4580,2018-02-12,10.030221455818166
2987955,C,12,302006,233,233,131,B,ADLD,342001,2017-10-13,2016-06-16,2018-03-16,4453,2018-03-20,16.031498451926762
3007421,AJ,23,400001,233,233,131,A,ADLD,411038,2017-05-02,2017-05-02,2018-03-22,4398,2018-03-24,10.371127381603328
3053312,AI,6,160059,233,233,131,C,ADLD,143001,2017-10-11,2017-10-10,2018-04-04,4437,2018-04-15,11.678079931460688
2934361,AJ,12,302006,233,233,228,B,ADLD,313001,2018-01-29,2017-11-29,2018-03-03,4407,2018-03-05,14.363549352127889
2979407,AN,22,400104,233,233,131,B,ADLD,361140,2017-10-09,2017-10-06,2018-03-14,4581,2018-03-29,13.652767259423518
3001378,C,4,600024,233,233,228,A,ADLD,600019,2018-02-28,2018-02-13,2018-03-20,4483,2018-03-29,12.033611963389522
3025387,AJ,6,160059,233,233,228,C,ADLD,141001,2018-01-04,2017-07-20,2018-03-27,4437,2018-03-31,10.910696731027464
2856532,AF,1,400059,233,233,131,B,ADLD,452001,2017-02-12,2017-02-09,2018-02-09,4581,2018-02-13,15.062874692564398
3030131,AN,7,500004,233,233,228,A,ADLD,500072,2018-03-04,2017-07-08,2018-03-28,4403,2018-03-30,7.858520536588585
2821171,C,2,110018,233,233,228,A,ADLD,122015,2017-12-18,2017-10-18,2018-01-30,4094,2018-02-01,13.766351037925283
2849313,AN,3,560011,233,233,228,A,ADLD,560076,2018-01-09,2017-12-13,2018-02-07,4467,2018-02-12,9.691007138883002
2838919,AI,8,700064,201,233,131,D,ADLD,711113,2018-01-27,2018-01-27,2018-02-04,4499,2018-02-11,17.668750783479297
2839783,AN,21,110015,233,233,131,C,ADLD,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,12.835685840499083
2839783,AN,21,110015,233,233,131,C,ADLD,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,12.835685840499083
2855601,AN,17,800001,233,233,131,C,ADLD,834001,2017-10-11,2017-10-06,2018-02-09,4538,2018-02-14,15.68125900188786
2868202,AN,3,560011,233,233,131,B,ADLD,580032,2018-01-12,2018-01-11,2018-02-14,4467,2018-02-19,12.302455727228182
2835214,C,12,302006,233,233,131,A,ADLD,302013,2017-08-10,2017-06-25,2018-02-03,4407,2018-02-16,13.700885431377094
2892610,C,2,110018,233,233,131,A,ADLD,122016,2017-09-12,2016-11-28,2018-02-21,4091,2018-02-24,14.233540111597794
2906296,AN,4,600024,233,233,131,A,ADLD,600096,2017-05-06,2017-05-05,2018-02-25,4490,2018-03-03,10.538675957242269
2884859,AN,21,110015,201,233,131,0,ADLD,335524,2018-01-10,2017-09-22,2018-02-19,4668,2018-03-07,18.010963184945734
3003578,C,2,110018,308,233,228,A,ADLD,110046,2018-03-01,2017-03-25,2018-03-21,4091,2018-03-27,12.371922457579766
3036158,AN,21,110015,233,233,131,A,ADLD,201301,2017-06-16,2017-06-14,2018-03-29,4580,2018-04-01,9.260787373919475
3007060,AJ,23,400001,233,233,131,A,ADLD,400058,2017-05-04,2017-05-04,2018-03-22,4398,2018-04-02,10.508707796091628
2995265,C,3,560011,233,233,228,A,ADLD,560004,2018-03-11,2018-03-11,2018-03-19,4469,2018-03-28,11.25581661575843
3048957,AJ,27,110034,233,233,228,A,ADLD,201009,2017-12-16,2017-07-11,2018-04-03,4388,2018-04-05,11.142859211274992
3064024,AJ,6,160059,233,233,131,B,ADLD,160036,2017-12-16,2017-12-16,2018-04-07,4437,2018-04-10,10.429975182860884
3038673,C,1,400059,233,233,131,A,ADLD,400710,2017-11-27,2017-11-17,2018-03-30,4010,2018-04-11,13.989998795508827
3054305,AN,22,400104,233,233,131,A,ADLD,400080,2017-04-13,2017-04-12,2018-04-04,4581,2018-04-09,9.550184542267168
3056252,AJ,27,110034,233,233,228,A,ADLD,110029,2017-05-09,2017-04-11,2018-04-05,4388,2018-04-17,9.59405551935019
2876909,C,2,110018,233,245,131,A,ADLD,110096,2017-09-06,2017-06-20,2018-02-16,4094,2018-02-20,13.580616295695012
2862113,AN,26,560066,233,245,131,A,ADLD,560040,2016-07-28,2016-07-27,2018-02-12,5001,2018-03-16,13.23601089001816
2876160,C,2,110018,233,233,228,A,ADLD,121007,2017-12-27,2017-09-04,2018-02-16,4388,2018-02-21,13.86285661517959
3006324,AJ,6,160059,233,233,131,A,ADLD,160071,2018-01-02,2018-01-02,2018-03-22,4437,2018-03-24,9.636590917076942
2835363,AN,7,500004,233,233,131,A,ADLD,500089,2017-02-24,2017-02-22,2018-02-03,4403,2018-02-14,9.639333666297468
3037453,AN,22,400104,233,233,131,C,ADLD,415409,2017-08-24,2017-08-22,2018-03-30,4581,2018-04-03,12.023273753500224
2987148,AA,3,560011,233,245,131,A,ADLD,560032,2017-10-04,2017-10-04,2018-03-16,4400,2018-03-17,11.740699717989354
2910212,AN,21,110015,233,233,131,B,ADLD,125050,2017-08-09,2017-02-03,2018-02-26,4580,2018-03-03,13.065904175473031
3050106,AN,22,400104,233,233,131,B,ADLD,440008,2017-06-30,2016-12-02,2018-04-03,4581,2018-04-13,12.437807857141944
2855771,C,7,500004,233,233,131,A,ADLD,500035,2017-10-18,2017-10-17,2018-02-09,4477,2018-02-22,12.452199141736415
3003544,AN,21,110015,233,233,131,A,ADLD,302020,2017-10-17,2017-10-11,2018-03-21,4580,2018-03-26,10.788044964811355
2861488,AB,1,400059,233,233,131,A,ADLD,110081,2017-10-24,2017-10-18,2018-02-11,4390,2018-03-05,19.198590521014022
3065821,AN,21,110015,233,233,131,A,ADLD,122001,2017-09-19,2017-09-12,2018-04-08,4580,2018-04-15,8.364950987233271
2835502,AN,21,110015,233,233,131,A,ADLD,110041,2017-09-05,2017-05-30,2018-02-03,4580,2018-02-08,10.389060812578869
2869153,AN,22,400104,233,233,131,B,ADLD,395017,2017-04-13,2017-03-02,2018-02-14,4581,2018-02-19,14.350453964399343
2886326,AJ,3,560011,233,233,131,A,ADLD,560076,2017-12-29,2017-12-29,2018-02-19,4460,2018-02-21,9.418931741557198
2882267,G,1,400059,233,233,131,A,ADLD,560106,2018-01-11,2017-06-02,2018-02-17,4011,2018-02-21,18.561019714484026
2883958,AJ,9,411016,233,233,131,A,ADLD,411011,2017-09-04,2017-08-30,2018-02-18,4021,2018-02-21,11.240856984482376
2852611,AJ,1,400059,233,233,131,A,ADLD,400602,2017-06-28,2017-06-28,2018-02-08,4398,2018-02-26,11.560635946993592
2836058,F,1,400059,233,233,131,A,ADLD,400710,2017-09-25,2017-09-17,2018-02-03,4011,2018-02-19,18.144142151603493
2870588,AM,1,400059,233,233,131,B,ADLD,422101,2017-05-26,2017-05-26,2018-02-14,4018,2018-02-24,18.855490567483464
2943441,AN,17,800001,233,233,131,A,ADLD,800004,2017-06-15,2017-06-13,2018-03-05,4538,2018-03-09,12.30090599121582
2949640,C,4,600024,233,233,131,B,ADLD,636005,2017-03-20,2017-03-18,2018-03-07,4492,2018-03-10,15.12104330927937
2951215,AN,21,110015,233,233,228,B,ADLD,282003,2018-01-22,2017-12-10,2018-03-07,4580,2018-03-17,13.602645810672879
3004630,AN,21,110015,308,233,131,A,ADLD,110035,2017-08-18,2017-08-17,2018-03-21,4580,2018-03-28,9.401133879634367
2973024,AN,7,500004,233,233,131,B,ADLD,533003,2017-03-27,2017-03-24,2018-03-12,4403,2018-03-26,12.33045068339735
3011239,AN,21,110015,233,233,228,A,ADLD,122015,2017-07-06,2017-07-06,2018-03-23,4580,2018-03-30,9.714531724716174
3000598,AN,21,110015,233,233,228,A,ADLD,201010,2018-03-03,2016-10-06,2018-03-20,4154,2018-03-24,11.603965381522848
3030507,AN,17,800001,201,233,131,D,ADLD,803215,2017-05-16,2017-05-13,2018-03-28,4538,2018-03-31,14.493634845858201
3009461,AJ,27,110034,233,233,228,A,ADLD,302016,2017-06-02,2017-05-29,2018-03-23,4388,2018-04-01,12.918389515426414
3057192,AJ,27,110034,233,233,131,A,ADLD,110092,2018-01-15,2017-04-30,2018-04-05,4388,2018-04-11,10.606273452843087
3074344,AJ,25,560037,233,245,228,A,ADLD,560091,2018-04-03,2018-03-31,2018-04-11,4460,2018-04-16,7.938593677183864
3017312,AJ,6,160059,233,233,131,B,ADLD,148001,2017-03-28,2017-03-23,2018-03-25,4437,2018-03-30,11.217180140825572
2860280,AJ,2,110018,233,233,228,A,ADLD,121001,2017-08-06,2017-05-20,2018-02-10,4388,2018-02-17,11.555388485323206
2832836,AJ,4,600024,0,233,131,A,ADLD,600116,2017-05-14,2017-05-14,2018-02-02,4482,2018-02-04,11.033241619219806
2887534,AJ,6,160059,233,233,131,B,ADLD,160025,2018-01-31,2018-01-21,2018-02-19,4437,2018-02-28,12.61317529422581
2979628,H,1,400059,233,233,131,A,ADLD,110015,2018-02-23,2017-11-15,2018-03-14,4011,2018-03-18,15.586889566046109
2879480,AN,3,560011,233,233,131,A,ADLD,560029,2016-11-22,2016-11-01,2018-02-17,4147,2018-02-20,12.275710947989108
2948011,AJ,12,302006,233,233,228,A,ADLD,302004,2017-09-17,2017-07-29,2018-03-06,4407,2018-03-17,11.570867457406147
2851199,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-30,2017-03-30,2018-02-08,4467,2018-02-10,9.908208433274263
2985709,AM,2,110018,233,233,228,B,ADLD,209801,2017-06-16,2017-06-16,2018-03-15,4092,2018-03-18,15.987530074563148
2823550,AN,8,700064,233,233,131,B,ADLD,713148,2017-12-27,2016-10-21,2018-01-31,4508,2018-02-04,13.25099742778046
2839869,AN,7,500004,233,233,131,A,ADLD,500056,2017-03-22,2017-03-21,2018-02-05,4403,2018-02-10,9.681839424044416
2845484,AN,21,110015,233,233,228,A,ADLD,201305,2018-01-15,2017-03-15,2018-02-06,4580,2018-02-07,11.085613466250464
2908320,AD,2,110018,233,233,228,A,ADLD,110007,2017-08-06,2016-07-04,2018-02-26,4148,2018-02-28,13.142356692134792
2873112,J,2,110018,201,233,228,D,ADLD,388360,2017-08-01,2017-03-31,2018-02-15,4154,2018-02-19,16.590682512739676
2904883,C,2,110018,233,233,131,A,ADLD,201304,2017-10-03,2017-09-29,2018-02-24,4094,2018-02-27,13.994451315852727
2945258,AJ,2,110018,233,233,131,A,ADLD,110053,2017-09-08,2017-09-01,2018-03-06,4388,2018-03-13,12.09131584176222
2967014,AJ,2,110018,233,233,228,A,ADLD,110009,2018-02-16,2018-02-06,2018-03-10,4388,2018-03-12,11.886393721042415
2950522,AN,22,400104,233,233,131,A,ADLD,380052,2017-09-12,2017-09-11,2018-03-07,4581,2018-03-09,12.014237380380575
3000380,AN,21,110015,233,233,131,C,ADLD,144411,2017-05-20,2017-05-15,2018-03-20,4580,2018-03-22,11.985730574670619
2962723,AJ,2,110018,233,233,131,A,ADLD,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12.20965662712711
2962723,AJ,2,110018,0,233,131,A,ADLD,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,12.870363849609227
2981246,AN,21,110015,233,233,131,A,ADLD,302029,2017-12-15,2017-12-13,2018-03-14,4580,2018-03-23,10.91872349773832
2995195,AN,26,560066,233,233,131,A,ADLD,641025,2016-05-28,2016-05-01,2018-03-19,4495,2018-03-23,12.450315594138425
2973748,C,11,641012,201,0,131,A,ADLD,641025,2017-04-13,2017-04-12,2018-03-13,4492,2018-03-22,14.459499759805814
3000612,C,3,560011,233,233,131,B,ADLD,590011,2018-02-27,2018-01-22,2018-03-20,4461,2018-03-23,15.075927058190825
2995876,AN,17,800001,201,233,131,D,ADLD,815351,2017-10-07,2017-10-05,2018-03-19,4410,2018-04-04,14.912528964525045
3081263,AN,22,400104,233,233,131,A,ADLD,400607,2017-07-22,2018-04-23,2018-04-13,4581,2018-04-18,8.255246538570791
3072387,AJ,25,560037,308,233,228,A,ADLD,560022,2018-02-18,2017-12-15,2018-04-10,4460,2018-04-18,8.149463136512614
2893036,C,3,560011,233,245,228,A,ADLD,560048,2017-11-15,2017-11-12,2018-02-21,4469,2018-02-24,12.320384222473077
2889463,AN,3,560011,233,233,131,A,ADLD,560023,2017-09-27,2017-09-27,2018-02-20,4467,2018-02-23,9.998219381283013
2949420,AJ,2,110018,233,233,228,A,ADLD,110048,2017-08-17,2018-01-11,2018-03-07,4388,2018-03-14,11.760632989760287
3047285,AN,26,560066,233,233,131,C,ADLD,635001,2017-12-22,2017-12-14,2018-04-02,5001,2018-04-06,12.222897800050891
2851719,AN,22,400104,233,233,131,B,ADLD,395003,2017-03-06,2017-03-02,2018-02-08,4581,2018-02-15,14.332554666532856
3050820,C,5,380009,233,233,131,B,ADLD,390001,2017-11-27,2017-11-27,2018-04-03,4546,2018-04-14,12.702485198475118
2831087,C,1,400059,233,233,131,A,ADLD,401101,2017-11-02,2017-11-02,2018-02-02,4545,2018-02-06,12.849325852225478
3025646,AN,22,400104,233,233,131,A,ADLD,421204,2017-04-10,2017-04-09,2018-03-27,4581,2018-04-01,9.41097701873974
2970923,AN,26,560066,201,201,131,0,ADLD,686693,2017-09-28,2016-09-28,2018-03-12,4495,2018-03-18,16.24748526541279
3011431,AN,21,110015,233,233,131,B,ADLD,132103,2018-02-22,2017-12-14,2018-03-23,4580,2018-03-26,11.039009596965617
